	amendment_author	amendment_number	amendment_purpose	amendment_type	bill_congress	bill_number	bill_title	bill_type	category	chamber	congress	date	nomination_number	nomination_title	number	question	record_modified	requires	result	result_text	session	source_url	subject	type	updated_at	vote_id	bias	ideology
2					113.0	1120.0		hr	recommit	h	113	2013-04-12T12:00:00-04:00			100	On Motion to Recommit with Instructions: H R 1120 Preventing Greater Uncertainty in Labor-Management Relations Act		1/2	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll100.xml	Preventing Greater Uncertainty in Labor-Management Relations Act	On the Motion to Recommit	2014-06-18T11:22:04-04:00	h100-113.2013	0.19919448228056383	-2.744039407756205
3					113.0	1120.0		hr	passage	h	113	2013-04-12T12:10:00-04:00			101	On Passage: H R 1120 Preventing Greater Uncertainty in Labor-Management Relations Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll101.xml	Preventing Greater Uncertainty in Labor-Management Relations Act	On Passage of the Bill	2014-06-18T11:22:04-04:00	h101-113.2013	-1.5769675340666403	2.4011623699349554
5					113.0	1162.0		hr	passage-suspension	h	113	2013-04-15T18:57:00-04:00			103	On Motion to Suspend the Rules and Pass, as Amended: H R 1162 To amend title 31, United States Code, to make improvements in the Government Accountability Office		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll103.xml	To amend title 31, United States Code, to make improvements in the Government Accountability Office	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:04-04:00	h103-113.2013	4.640933924885184	0.022913728054827012
6					113.0	882.0		hr	passage-suspension	h	113	2013-04-15T19:08:00-04:00			104	On Motion to Suspend the Rules and Pass, as Amended: H R 882 To prohibit the awarding of a contract or grant in excess of the simplified acquisition threshold unless the prospective contractor or grantee certifies in writing to the agency awarding the contract or grant that the contractor or grantee has no seriously delinquent tax debts, and for other purposes		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll104.xml	To prohibit the awarding of a contract or grant in excess of the simplified acquisition threshold unless the prospective contractor or grantee certifies in writing to the agency awarding the contract or grant that the contractor or grantee has no seriously delinquent tax debts, and for other purposes	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:04-04:00	h104-113.2013	4.655641492185898	0.01935298427644321
7					113.0	249.0		hr	passage-suspension	h	113	2013-04-15T19:16:00-04:00			105	On Motion to Suspend the Rules and Pass: H R 249 To amend title 5, United States Code, to provide that persons having seriously delinquent tax debts shall be ineligible for Federal employment		2/3	Failed	Failed	2013	http://clerk.house.gov/evs/2013/roll105.xml	To amend title 5, United States Code, to provide that persons having seriously delinquent tax debts shall be ineligible for Federal employment	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:04-04:00	h105-113.2013	1.0559864638251488	1.1953187240207694
8					113.0	1163.0		hr	passage-suspension	h	113	2013-04-16T14:05:00-04:00			106	On Motion to Suspend the Rules and Pass: H R 1163 Federal Information Security Amendments Act of 2013		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll106.xml	Federal Information Security Amendments Act of 2013	On Motion to Suspend the Rules and Pass	2014-06-18T11:22:04-04:00	h106-113.2013	4.671973431348351	0.013779816447022657
9					113.0	756.0		hr	passage-suspension	h	113	2013-04-16T14:13:00-04:00			107	On Motion to Suspend the Rules and Pass, as Amended: H R 756 Cybersecurity Enhancement Act of 2013		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll107.xml	Cybersecurity Enhancement Act of 2013	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:04-04:00	h107-113.2013	3.4247702991915396	-0.33413162726466034
10					113.0	967.0		hr	passage-suspension	h	113	2013-04-16T14:20:00-04:00			108	On Motion to Suspend the Rules and Pass, as Amended: H R 967 Advancing America’s Networking and Information Technology Research and Development Act of 2013		2/3	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll108.xml	Advancing America’s Networking and Information Technology Research and Development Act of 2013	On Motion to Suspend the Rules and Pass, as Amended	2014-06-18T11:22:03-04:00	h108-113.2013	3.7465753957223167	-0.35125819484172816
11					113.0	164.0		hres	passage	h	113	2013-04-17T14:18:00-04:00			109	On Agreeing to the Resolution: H RES 164 Providing for consideration of H.R. 624, the Cyber Intelligence Sharing and Protection Act		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll109.xml	Providing for consideration of H.R. 624, the Cyber Intelligence Sharing and Protection Act	On the Resolution	2014-06-18T11:22:03-04:00	h109-113.2013	0.1753319236252529	1.8118773022278107
12					113.0	23.0		hres	procedural	h	113	2013-01-15T13:59:00-05:00			11	On Ordering the Previous Question: H RES 23 Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes		1/2	Passed	Passed	2013	http://clerk.house.gov/evs/2013/roll011.xml	Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes	On Ordering the Previous Question	2014-06-18T11:22:23-04:00	h11-113.2013	1.798609543551299	0.9710266467735658
